keyword,question,answer,url,source
고혈압,고혈압 예방에 도움이 되는 식사지침이 있습니까?,"체중이 많이 나갈 경우는 정상체중을 유지하도록 한다. 규칙적인 운동을 한다. 저지방, 저염분식사를 하며 야채와 과일을 많이 먹는다. 금연을 한다. 술을 줄인다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,염분(나트륨) 섭취를 줄이려면 어떻게 해야 하나요?,"조리시 소금, 간장, 된장, 고추장 등은 허용된 양만첨가한다. 염분 함량이 많은 식품은 피한다. 한 번에 많은 염분을 먹게 되는 국, 찌개, 라면 등의 섭취를 삼간다. 김치는 싱겁게 담가서 조금씩만 섭취한다.가공된 것이 아닌 신선한 채소 및 과일, 육류를 섭취한다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,칼륨이 많은 식품을 섭취하면 고혈압 관리에 도움이 될까요?,"칼륨을 충분히 섭취하면 고혈압을 예방하고, 고혈압 환자의 경우에는 혈압을 낮출 수 있다고 합니다.즉, 칼륨은 나트륨을 몸 바깥으로 배설시킴으로써 과잉의 염분 섭취로 인한 혈압상승을 억제할 수 있습니다. 그렇기 때문에 소금을 많이 섭취하는 경우에는 하루 3.5g 이상의 칼륨 섭취가 권장됩니다.가공식품은 나트륨이 높고 칼륨의 함유량이 낮은 편이므로, 고혈압 환자는 제한하는 것이 좋습니다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,고혈압 환자는 커피를 제한하는 것이 좋을까요?,하루 1~2잔의 일상적인 커피 섭취량은 혈압에 별다른 영향을 주지 않습니다.,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,"비만하면 혈압이 높아진다고 하는데, 그러면 반대로 살을 빼면 혈압이 낮아 지나요?","고혈압은 체중과 밀접한 관계가 있고, 체중을 줄이면 혈압이 낮아집니다. 특히 복부비만은 고혈압, 이상지질혈증, 당뇨병 및 관상동맥질환에 의한 사망률과 매우 밀접한 관련이 있습니다.고혈압 환자가 표준 체중을 10% 이상 초과하는 경우 5kg 정도의 체중을 감량하여도 뚜렷한 혈압 감소 효과를 얻을 수 있습니다. 특히 당뇨병, 이상지질혈증, 좌심실비대가 동반된 환자에게 체중감량이 도움이 됩니다. 운동, 절주, 소금 섭취 제한 등을 병행하면 체중감량에 의한 혈압 감소 효과는 더욱 증강됩니다. 체중은 먼저 최소 4-5kg 정도 감량을 시도해보고 필요에 따라 5kg을 추가로 감량합니다. 권장 체질량지수(몸무게/키2)에 대해서는 의견이 다양하지만 우리나라 사람에게서는 25kg/m2 전후의 체중이 저체중 및 과체중에 비해 사망률이 가장 낮으므로 이를 목표로 체중을 조절합니다. 체질량지수(BMI) 25kg/m2 미만 및 허리둘레 남성 90cm 미만, 여성 85cm 미만 식 사 조절과 신체활동 늘리기 두 가지는 동시에 해야 체중 조절 효과가 있고 장기간 체중 유지가 가능합니다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,혈압이 높으면 정말 위험한 가요? 왜 치료해야 하나요?,"혈압이 높으면 위험합니다. 일반적으로 120/75mmHg 이상부터는 수축기 혈압이 20mmHg 혹은 이완기 혈압이 10mmHg 상승할 때마다 심혈관계 사망률이 2배씩 상승합니다.즉, 고혈압은 심한 정도에 비례해 위험도가 상승하므로 조기진단과 조절이 중요합니다. 물론 혈압이 높다고 바로 심장이나 혈관 합병증이 발생하는 경우는 드뭅니다.대개 고혈압 초기에는 증상도 없고, 불편하지도 않습니다.일정 기간 조절하지 않고 방치해도 문제가 생기는 경우는  흔치 않기 때문에 위험도가 과소평가되기 쉽습니다. 그러나 고혈압은 모든 심혈관계 질환의 주요 위험인자입니다.뇌졸중과 심근경색증 등 고혈압과 연관된 질환은 한국인의 가장 주요한 사망원인입니다. 따라서 고혈압의 진단과 조절에 더욱 주의를 기울여야 합니다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,고혈압 심장질환에는 어떤 것이 있습니까? 혈압을 조절하면 치료할 수 있나요?,"고혈압의 합병증은 심장, 신장, 뇌혈관, 눈 등 전신적으로 나타날 수 있으며, 합병증의 위험도는 혈압이 얼마나 높게, 얼마나 오래 지속되는지에 따라 증가합니다. 다행히 혈압을 조절하면 합병증을 예방할 수 있고, 혈관 변성이나 심장비대 같은 합병증은 정상적인 상태로 호전될 수도 있습니다. 따라서 고혈압 조절이 매우 중요합니다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,고혈압약은 평생 먹어야 한다던데요? 혈압약을 평생 먹으면 부작용은 없나요?,"고혈압은 특별한 이유 없이 발생하는 원발성 고혈압과 혈압을 올리는 질환으로 인해 생기는 이차성 고혈압이 있습니다. 원발성 고혈압은 아직 완치 방법이 없으나 꾸준히 혈압약을 복용해 정상 혈압을 유지한다면 고혈압이 없는 사람과 비슷하게 건강한 생활이 가능합니다. 이렇듯 고혈압은 완치하는 병이 아니라 조절하는 병이므로 대부분 평생 혈압약을 복용합니다. 혈압약은 여러 종류가 있으며 저마다 부작용이 있으나 의사와 잘 상의해서 사용하면 대개 평생 복용해도 큰 문제가 없습 니다.이 차성 고혈압은 원인 질환을 치료하면 혈압이 정상으로 돌아올 수 있으며, 혈압약도 끊을 수 있습니다.",https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,고혈압이 조절되면 고혈압 망막병증은 되돌아오나요?,고혈압 망막병증 제3군까지는 혈압이 잘 조절되면 망막 이상이 좋아져 시력이 저하되는 상태까지 이르지는 않습니다.,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
고혈압,시력이 좋으면 고혈압 망막병증은 걱정 안 해도 되나요?,고혈압이 있어도 안저에 변화가 생기고 시력이 저하되려면 오랜 시간이 걸립니다. 그전에 혈압을 조절해 고혈압 망막병증 등의 합병증을 막고 건강을 유지할 수 있습니다. 혈압 조절이 잘 되어도 고혈압성 망막 변화가 있을 수 있으므로 정기검사를 받는 것이 바람직합니다.,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do,국가건강정보포털
